Public Food Key,Classification,Category,Categoría,Food Name,Nombre en español,"Energy, with dietary fibre (kJ)","Energy, with dietary fibre (kcal)","Energy, without dietary fibre (kJ)","Energy, without dietary fibre (kcal)",Moisture (water) (g),Protein (g),Nitrogen (g),Total fat (g),Ash (g),Total dietary fibre (g),Alcohol (g),Fructose (g),Glucose (g),Sucrose (g),Maltose (g),Lactose (g),Galactose (g),Maltotriose (g),Total sugars (g),Added sugars (g),Free sugars (g),Starch (g),Dextrin (g),Glycerol (g),Glycogen (g),Inulin (g),Mannitol (g),Maltodextrin (g),Oligosaccharides (g),Raffinose (g),Stachyose (g),Sorbitol (g),Resistant starch (g),"Available carbohydrate, without sugar alcohols (g)","Available carbohydrate, with sugar alcohols (g)",Acetic acid (g),Citric acid (g),Fumaric acid (g),Lactic acid (g),Malic acid (g),Oxalic acid (g),Propionic acid (g),Quinic acid (g),Succinic acid (g),Tartaric acid (g),Aluminium (Al) (ug),Antimony (Sb) (ug),Arsenic (As) (ug),Cadmium (Cd) (ug),Calcium (Ca) (mg),Chromium (Cr) (ug),Chloride (Cl) (mg),Cobalt (Co) (ug),Copper (Cu) (mg),Fluoride (F) (ug),Iodine (I) (ug),Iron (Fe) (mg),Lead (Pb) (ug),Magnesium (Mg) (mg),Manganese (Mn) (mg),Mercury (Hg) (ug),Molybdenum (Mo) (ug),Nickel (Ni) (ug),Phosphorus (P) (mg),Potassium (K) (mg),Selenium (Se) (ug),Sodium (Na) (mg),Sulphur (S) (mg),Tin (Sn) (ug),Zinc (Zn) (mg),Retinol (preformed vitamin A) (ug),Alpha-carotene (ug),Beta-carotene (ug),Cryptoxanthin (ug),Beta-carotene equivalents (provitamin A) (ug),Vitamin A retinol equivalents (ug),Lutein (ug),Lycopene (ug),Xanthophyl (ug),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Niacin derived from tryptophan (mg),Niacin derived equivalents (mg),Pantothenic acid (B5) (mg),Pyridoxine (B6) (mg),Biotin (B7) (ug),Cobalamin (B12) (ug),"Folate, natural (ug)",Folic acid (ug),Total folates (ug),Dietary folate equivalents (ug),Vitamin C (mg),Cholecalciferol (D3) (ug),Ergocalciferol (D2) (ug),25-hydroxy cholecalciferol (25-OH D3 (ug),25-hydroxy ergocalciferol (25-OH D2) (ug),Vitamin D3 equivalents (ug),Alpha tocopherol (mg),Alpha tocotrienol (mg),Beta tocopherol (mg),Beta tocotrienol (mg),Delta tocopherol (mg),Delta tocotrienol (mg),Gamma tocopherol (mg),Gamma tocotrienol (mg),Vitamin E (mg),C4 (%),,C6 (%),,C8 (%),,C10 (%),,C11 (%),,C12 (%),,C13 (%),,C14 (%),,C15 (%),,C16 (%),,C17 (%),,C18 (%),,C19 (%),,C20 (%),,C21 (%),,C22 (%),,C23 (%),,C24 (%),,Total saturated fatty acids (%),,C12:1 (%),,C14:1 (%),,C15:1 (%),,C16:1 (%),,C17:1 (%),,C18:1 (%),,C20:1 (%),,C22:1 (%),,C24:1 (%),,Total monounsaturated fatty acids (%),,C16:2w4 (%),,C16:3 (%),,C18:2w6 (%),,C18:3w3 (%),,C18:3w4 (%),,C18:3w6 (%),,C18:4w1 (%),,C18:4w3 (%),,C20:2w6 (%),,C20:3w3 (%),,C20:3w6 (%),,C20:4w3 (%),,C20:4w6 (%),,C20:5w3 (%),,C22:2w6 (%),,C22:4w6 (%),,C22:5w3 (%),,C22:5w6 (%),,C22:6w3 (%),,Other polyunsaturated fatty acids (%),,Total polyunsaturated fatty acids (%),,Total long chain omega 3 fatty acids (%),,Total undifferentiated fatty acids (%),,Total trans fatty acids (%),,Caffeine (mg),Cholesterol (mg),Tryptophan (mg/g N),,Alanine (mg/g N),,Arginine (mg/g N),,Aspartic acid (mg/g N),,Cystine plus cysteine (mg/g N),,Glutamic acid (mg/g N),,Glycine (mg/g N),,Histidine (mg/g N),,Isoleucine (mg/g N),,Leucine (mg/g N),,Lysine (mg/g N),,Methionine (mg/g N),,Phenylalanine (mg/g N),,Proline (mg/g N),,Serine (mg/g N),,Threonine (mg/g N),,Tyrosine (mg/g N),,Valine (mg/g N),,wiki,wiki (es)
F002258,31302,Herbs(dried)  and spices ,Hierbas (secado) y especias,"Cardamom seed, dried, ground","semilla de cardamomo, secado, molido",1236,295,1012,242,8.3,10.8,1.72,6.7,5.8,28,0,,,,,,,,4.4,0,0,30,,,,,,,,,,,,34.4,34.4,,,,,,,,,,,,,,,383,,,,,,0,13.97,,229,,,,,178,1119,11.7,18,,,7.47,0,,22,,22,4,,,,0.198,0.182,1.1,2.64,3.74,,0.23,,0,3,0,3,3,21,0,0,0,0,0,2.8,,,,,,,,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.34,2.2,,,,,,,,,,,,,,,,,,,43.94,2.81,,,,,15.7,1,6.1,0.39,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,21.72,1.39,0,0,,,0,0,0,0,90,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,species of plant,especie de planta de la familia Zingiberaceae
F002893,31302,Herbs(dried)  and spices ,Hierbas (secado) y especias,"Chilli (chili), dry, ground","Chile (chile), seco, planta",1280,306,1002,239,10.8,13.4,2.14,14.3,11.8,34.8,0,,,,,,,,7.2,0,0,7.7,,,,,,,,,,,,14.9,14.9,,,,,,,,,,,,,,,330,,,,,,2.3,17.3,,149,,,,,300,1950,20.4,2867,,,4.3,0,,15000,,15000,2500,,,,0.25,0.94,11.6,1.18,12.78,,2.09,,0,28,0,28,28,1,0,0,0,0,0,38.1,,,,,,,,38.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,2.06,,,,,,,,,,,,,,,,,,,23.47,2.68,,,,,54.6,6.24,3.9,0.45,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,58.53,6.69,0,0,,,0,0,0,0,33,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fruit of plants from the genus Capsicum, members of the nightshade family, Solanaceae",fruto de diversas especies del género Capsicum
F002963,31302,Herbs(dried)  and spices ,Hierbas (secado) y especias,"Cinnamon, dried, ground","Canela, secado, molido",1004,240,579,138,10.6,4,0.64,1.2,3.6,53.1,0,,,,,,,,2.2,0,0,25.3,,,,,,,,,,,,27.5,27.5,,,,,,,,,,,,,,,1002,,,,,,0.1,8.32,,60,,,,,64,431,3.1,10,,,1.83,0,,112,,112,19,,,,0.022,0.041,1.33,0.83,2.16,,0.16,,0,6,0,6,6,4,0,0,0,0,0,2.3,,,,,,,,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.35,0.62,,,,,,,,,,,,,,,,,,,37.33,0.44,,,,,6.7,0.08,1.7,0.02,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,1.97,0.02,10.32,0.12,0,0,,,0,0,0,0,77,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spice obtained from the inner bark of several trees from the genus Cinnamomum,especia
F002970,31302,Herbs(dried)  and spices ,Hierbas (secado) y especias,"Cloves, dried, ground","El clavo, secado, molido",1389,332,1118,267,9.9,6,0.96,13,5.6,33.9,0,,,,,,,,2.4,0,0,29.2,,,,,,,,,,,,31.6,31.6,,,,,,,,,,,,,,,632,,,,,,50.7,11.83,,259,,,,,104,1020,7.2,277,,,2.32,0,,45,,45,8,,,,0.216,0.22,1.56,0.51,2.07,,0.39,,0,25,0,25,25,0,0,0,0,0,0,8.8,,,,,,,,8.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.15,5.49,,,,,,,,,,,,,,,,,,,15.56,1.93,,,,,29.7,3.69,6.5,0.81,,,,,,,,,,,,,,,,,,,0.1,11.06,,,,,2.1,255.52,,,0,0,2.09,0.26,40.45,5.03,2.145,266.581,,,0,0,0,0,31,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A spice. The species are in Q26736,
F003190,31302,Herbs(dried)  and spices ,Hierbas (secado) y especias,"Coriander seed, dried, ground","semilla de cilantro, secado, molido",1344,321,1009,241,8.9,12.4,1.98,17.8,6,41.9,0,,,,,,,,2.4,0,0,6.1,,,,,,,,,,,,8.4,8.4,,,,,,,,,,,,,,,709,,,,,,2.3,16.32,,330,,,,,409,1267,26.2,35,,,4.7,0,,122,,122,20,,,,0.239,0.29,2.13,3.03,5.16,,0.04,,0,0,0,0,0,21,0,0,0,0,0,0.9,,,,,,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.07,1.03,,,,,,,,,,,,,,,,,,,83.21,14.14,,,,,10.7,1.82,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,10.72,1.82,0,0,,,0,0,0,0,90,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,species of plant,hierba
F003327,31302,Herbs(dried)  and spices ,Hierbas (secado) y especias,"Cumin (cummin) seed, dried, ground","El comino (comino) de semillas, secado, molido",1782,426,1698,406,8.1,17.8,2.85,22.3,7.6,10.5,0,,,,,,,,2.2,0,0,31.5,,,,,,,,,,,,33.7,33.7,,,,,,,,,,,,,,,931,,,,,,13.6,66.36,,366,,,,,499,1788,5.2,168,,,4.8,0,,762,,762,127,,,,0.628,0.327,4.58,4.36,8.94,,0.44,,0,10,0,10,10,8,0,0,0,0,0,3.3,,,,,,,,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.14,1.73,,,,,,,,,,,,,,,,,,,74.47,15.85,,,,,16.5,3.5,0.9,0.2,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,17.39,3.7,0,0,,,0,0,0,0,90,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spice,especie
F003337,31302,Herbs(dried)  and spices ,Hierbas (secado) y especias,Curry powder,polvo de curry,1231,294,805,192,8.8,14.3,2.29,14,7.1,53.2,0,,,,,,,,2.8,0,0,0,,,,,,,,,,,,2.8,2.8,,,,,,,,,,,,,,,525,,,,,,0,19.1,,255,,,,,367,1170,40.3,52,,,4.7,0,,11,,11,2,,,,0.176,0.2,3.26,1.85,5.11,,0.1,,0,56,0,56,56,1,0,0,0,0,0,25.2,,,,,,,,25.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.22,1.64,,,,,,,,,,,,,,,,,,,65.12,8.72,,,,,20.7,2.77,1.9,0.25,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,22.56,3.02,0,0,,,0,0,0,0,48,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dish whose origins are in South and Southeast Asian cuisines,
F003821,31302,Herbs(dried)  and spices ,Hierbas (secado) y especias,"Fenugreek seed, dried","semillas de alholva, se secó",1080,258,699,167,8.8,23,3.68,6.4,3.4,47.6,0,,,,,,,,0.6,0,0,3.7,,,,,,,,,,,,4.2,4.2,,,,,,,,,,,,,,,176,,,,,,2.3,33.53,,191,,,,,296,770,6.3,67,,,2.5,0,,142,,142,24,,,,0.322,0.366,1.64,5.64,7.28,,0.6,,0,57,0,57,57,3,0,0,0,0,0,0,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.84,1.03,,,,,,,,,,,,,,,,,,,14.65,0.9,,,,,44.8,2.75,23.7,1.45,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,68.51,4.2,0,0,,,0,0,0,0,90,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,species of plant,especie de planta
F004210,31302,Herbs(dried)  and spices ,Hierbas (secado) y especias,"Ginger, dried, ground","Ginger, secado, molido",1397,334,1284,307,9.9,9,1.44,4.2,5.2,14.1,0,,,,,,,,3.4,0,0,54.1,,,,,,,,,,,,57.5,57.5,,,,,,,,,,,,,,,114,,,,,,12.4,19.8,,214,,,,,168,1320,55.8,27,,,3.64,0,,18,,18,3,,,,0.046,0.17,9.62,2.58,12.2,,0.63,,0,13,0,13,13,1,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.86,2.2,,,,,,,,,,,,,,,,,,,11.95,0.4,,,,,17.6,0.6,5.6,0.19,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,0,0,,,23.18,0.79,0,0,,,0,0,0,0,106,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"the culinary ingredient, use Q35625 for the species",
F005972,31302,Herbs(dried)  and spices ,Hierbas (secado) y especias,Mustard powder,Mostaza en polvo,2289,547,2249,538,4.3,29.4,4.71,39.5,3.4,5,0,0,0.1,4.9,0,0,,,5,0,0,12.2,,,,,,,,,,,,17.2,17.2,,,,,,,,,,,,,,,160,,79,,0.41,0,0,7,,310,1.9,,,,730,650,160,3,900,,4.9,0,0,35,0,35,6,,,,1.3,0,6.5,4.24,10.74,,0.4,,0,162,0,162,162,7,0,0,0,0,0,5.1,,,,,,,,5.07,,,,,,,0,0,,,0,0,,,0,0,0,0,3.2,1.21,0,0,1.4,0.53,,,0.7,0.26,,,0,0,,,0,0,5.3,2,,,,,0,0,0,0,0,0,25.8,9.74,12.3,4.64,25.2,9.52,,,63.3,23.9,,,,,19.4,7.33,12.1,4.57,,,,,,,,,,,0,0,,,,,0,0,0,0,,,,,0,0,,,0,0,,,31.5,11.9,0,0,,,0,0,0,0,53,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,condiment made from various varieties of mustard seeds,Condimento elaborado a partir de diversas variedades de semillas de mostaza
